Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
R2 R28 ,2,"680R","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R201 R301 R504 ,15,"1K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R29 ,1,"1M","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R30 ,1,"10R","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R303 ,1,"100R","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R33 R302 R501 R502 R503 ,5,"4K7","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R34 ,1,"220R","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R4 ,1,"18K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R5 ,1,"330R","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
R6 ,1,"2K2","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
REG1 ,1,"L7805","TO_SOT_Packages_THT:TO-220-3_Horizontal","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
RP1 ,1,"10K","Resistors_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
RP3 ,1,"10K","Resistors_THT:R_Array_SIP6","http://www.vishay.com/docs/31509/csc.pdf"
S1 ,1,"EG4208A","SamacSys_Parts:EG4208","https://www.e-switch.com/system/asset/product_line/data_sheet/119/EG.pdf","Slide Switches 4P2T SIDE OP PC MNT","5","E-Switch","EG4208A","612-EG4208A","https://www.mouser.co.uk/ProductDetail/E-Switch/EG4208A?qs=01kh3H%252BlXijiZ%252BDtLjJDLw%3D%3D"
TR101 TR102 ,2,"PN2222","TO_SOT_Packages_THT:TO-92_Molded_Narrow","http://www.fairchildsemi.com/ds/PN/PN2222A.pdf"
TR1 TR2 ,2,"BC548","TO_SOT_Packages_THT:TO-92_Molded_Narrow","http://www.fairchildsemi.com/ds/BC/BC547.pdf"
TR401 TR402 TR403 TR404 TR405 ,5,"2N3904","TO_SOT_Packages_THT:TO-92_Molded_Narrow","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
VIDEO1 ,1,"CVBS","zxbus:YELLOW_RCA",""
X1 ,1,"3.5MHz","Crystals:Resonator-3pin_w7.0mm_h2.5mm",""
